0-0#37,45733#100010000001111
0-0#37,46633#100010000001111
0-0#37,46633#100010000001111
0-0#37,47533#100010000001111
0-0#37,48433#100010000001111
0-0#37,49333#100010000001111
0-0#37,50233#100010000001111
0-0#37,51133#100010000001111
0-0#37,52033#100010000001111
0-0#37,52933#100010000001111
0-0#37,52933#100010000001111
0-0#37,52933#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-0#37,53833#100010000001111
0-1#37,53833#100010000001111
0-1#37,53833#100010000001111
0-1#37,53833#100010000001111
0-1#37,53833#100010000001111
0-1#37,53833#100010000001111
0-1#37,54833#100010000001111
0-1#37,54833#100010000001111
0-1#37,55833#100010000001111
0-1#37,56833#100010000001111
0-1#37,57833#100010000001111
0-1#37,58833#100010000001111
0-1#37,59833#100010000001111
0-1#37,60833#100010000001111
0-1#37,61833#100010000001111
0-1#37,62833#100010000001111
0-1#37,62833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-1#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,63833#100010000001111
0-2#37,64833#100010000001111
0-2#37,65833#100010000001111
0-2#37,65833#100010000001111
0-2#37,65833#100010000001111
0-2#37,65833#100010000001111
0-2#37,66833#100010000001111
0-2#37,66833#100010000001111
0-2#37,67833#100010000001111
0-2#37,68833#100010000001111
0-2#37,69833#100010000001111
0-2#37,69833#100010000001111
0-2#37,69833#100010000001111
0-2#37,70833#100010000001111
0-2#37,71833#100010000001111
0-2#37,72833#100010000001111
0-2#37,72833#100010000001111
0-2#37,73833#100010000001111
0-2#37,73833#100010000001111
0-2#37,73833#100010000001111
0-2#37,73833#100010000001111
0-2#37,73833#100010000001111
0-2#37,73833#100010000001111
0-2#37,73833#100010000001111
0-2#37,73833#100010000001111
0-2#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,72833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-3#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,73833#100010000001111
0-4#37,72833#100010000001111
0-4#37,72833#100010000001111
0-4#37,71833#100010000001111
0-4#37,70833#100010000001111
0-4#37,69833#100010000001111
0-4#37,68833#100010000001111
0-4#37,67833#100010000001111
0-4#37,66833#100010000001111
0-4#37,65833#100010000001111
0-4#37,65833#100010000001111
0-4#37,65833#100010000001111
0-4#37,65833#100010000001111
0-4#37,65833#100010000001111
0-4#37,65833#100010000001111
0-5#37,66833#100010000001111
0-5#37,66833#100010000001111
0-5#37,66833#100010000001111
0-5#37,66833#100010000001111
0-5#37,66833#100010000001111
0-5#37,65833#100010000001111
0-5#37,65833#100010000001111
0-5#37,64833#100010000001111
0-5#37,64833#100010000001111
0-5#37,64833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-5#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,63833#100010000001111
0-6#37,62833#100010000001111
0-6#37,61833#100010000001111
0-6#37,60833#100010000001111
0-6#37,60833#100010000001111
0-6#37,60833#100010000001111
