8-28#29,808#100010000001111
8-28#33,534#100010000001111
8-28#37,26#100010000001111
8-28#37,26#100010000001111
8-28#37,26#100010000001111
8-28#37,26#100010000001111
8-28#37,25#100010000001111
8-28#37,24#100010000001111
8-28#37,24#100010000001111
8-28#37,24#100010000001111
8-29#37,24#100010000001111
8-29#37,24#100010000001111
8-29#37,24#100010000000111
8-29#37,24#100010000000111
8-29#37,24#100010000000111
8-29#37,24#100010000000111
8-29#37,25#100010000000111
8-29#37,26#100010000000111
8-29#37,26#100010000000111
8-29#37,26#100010000000111
8-29#37,26#100010000001111
8-29#37,26#100010000001111
8-29#37,26#100010000001111
8-29#37,26#100010000001111
8-29#37,26#100010000001111
8-29#37,26#100010000001111
8-29#37,26#100010000001111
8-29#37,26#100010000001111
8-29#37,271#100010000001111
8-30#37,282#100010000001111
8-30#37,293#100010000001111
8-30#37,304#100010000001111
8-30#37,315#100010000001111
8-30#37,326#100010000001111
8-30#37,337#100010000001111
8-30#37,358#100010000001111
8-30#37,389#100010000001111
8-30#37,42#100010000001111
8-30#37,44#100010000001111
8-30#37,46#100010000001111
8-30#37,47#100010000001111
8-30#37,49#100010000001111
8-30#37,51#100010000001111
8-30#37,53#100010000001111
8-30#37,55#100010000001111
8-30#37,56#100010000001111
8-30#37,56#100010000001111
8-30#37,56#100010000001111
8-30#37,56#100010000001111
8-30#37,56#100010000001111
8-30#37,57#100010000000111
8-30#37,57#100010000000111
8-30#37,57#100010000000111
8-30#37,57#100010000000111
8-30#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,57#100010000000111
8-31#37,58#100010000000111
8-31#37,59#100010000000111
8-31#37,6#100010000000111
8-31#37,61#100010000000111
8-31#37,62#100010000000111
8-31#37,63#100010000000111
8-31#37,64#100010000000111
8-31#37,65#100010000000111
8-31#37,66#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,67#100010000000111
8-31#37,681#100010000000111
8-31#37,692#100010000000111
8-31#37,703#100010000000111
8-31#37,714#100010000000111
8-31#37,725#100010000000111
8-31#37,736#100010000000111
8-31#37,747#100010000000111
8-31#37,758#100010000000111
8-31#37,769#100010000000111
8-31#37,78#100010000000111
8-31#37,78#100010000000111
8-31#37,78#100010000000111
8-32#37,78#100010000000111
8-32#37,78#100010000000111
8-32#37,78#100010000000111
8-32#37,78#100010000000111
8-32#37,78#100010000000111
8-32#37,78#100010000000111
8-32#37,78#100010000000111
8-32#37,79#100010000000111
8-32#37,8#100010000000111
8-32#37,81#100010000000111
8-32#37,82#100010000000111
8-32#37,83#100010000000111
8-32#37,84#100010000000111
8-32#37,85#100010000000111
8-32#37,86#100010000000111
8-32#37,87#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-32#37,88#100010000000111
8-33#37,88#100010000000111
8-33#37,88#100010000000111
8-33#37,89#100010000000111
8-33#37,9#100010000000111
8-33#37,91#100010000000111
8-33#37,92#100010000000111
8-33#37,93#100010000000111
8-33#37,94#100010000000111
8-33#37,95#100010000000111
8-33#37,96#100010000000111
8-33#37,97#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,98#100010000000111
8-33#37,991#100010000000111
8-33#37,991#100010000000111
8-33#38,002#100010000000111
8-33#38,013#100010000000111
