10-33#36,45#100010000001111
10-33#36,45#100010000001111
10-33#36,45#100010000001111
10-33#36,45#100010000001111
10-33#36,45#100010000001111
10-33#36,45#100010000001111
10-33#36,45#100010000001111
10-33#36,45#100010000001111
10-33#36,45#100010000001111
10-33#36,46#100010000001111
10-33#36,47#100010000001111
10-33#36,48#100010000001111
10-33#36,49#100010000001111
10-33#36,5#100010000001111
10-34#36,51#100010000001111
10-34#36,52#100010000001111
10-34#36,53#100010000001111
10-34#36,54#100010000001111
10-34#36,55#100010000001111
10-34#36,56#100010000001111
10-34#36,57#100010000001111
10-34#36,58#100010000001111
10-34#36,59#100010000001111
10-34#36,6#100010000001111
10-34#36,61#100010000001111
10-34#36,62#100010000001111
10-34#36,63#100010000001111
10-34#36,64#100010000001111
10-34#36,65#100010000001111
10-34#36,66#100010000001111
10-34#36,66#100010000001111
10-34#36,66#100010000001111
10-34#36,66#100010000001111
10-34#36,67#100010000001111
10-34#36,68#100010000001111
10-34#36,69#100010000001111
10-34#36,7#100010000001111
10-34#36,71#100010000001111
10-34#36,72#100010000001111
10-34#36,72#100010000001111
10-34#36,73#100010000001111
10-34#36,74#100010000001111
10-34#36,75#100010000001111
10-34#36,75#100010000001111
10-34#36,75#100010000001111
10-34#36,75#100010000001111
10-34#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,75#100010000001111
10-35#36,761#100010000001111
10-35#36,772#100010000001111
10-35#36,783#100010000001111
10-35#36,794#100010000001111
10-35#36,805#100010000001111
10-35#36,816#100010000001111
10-35#36,827#100010000001111
10-35#36,838#100010000001111
10-35#36,849#100010000001111
10-35#36,86#100010000001111
10-35#36,86#100010000001111
10-35#36,86#100010000001111
10-35#36,86#100010000001111
10-35#36,86#100010000001111
10-35#36,86#100010000001111
10-35#36,86#100010000001111
10-35#36,87#100010000001111
10-35#36,88#100010000001111
10-35#36,89#100010000001111
10-35#36,9#100010000001111
10-35#36,91#100010000001111
10-36#36,92#100010000001111
10-36#36,93#100010000001111
10-36#36,94#100010000001111
10-36#36,95#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,96#100010000001111
10-36#36,97#100010000001111
10-36#36,98#100010000001111
10-36#36,99#100010000001111
10-37#37#100010000001111
10-37#37,01#100010000001111
10-37#37,02#100010000001111
10-37#37,03#100010000001111
10-37#37,04#100010000001111
10-37#37,05#100010000001111
10-37#37,06#100010000001111
10-37#37,06#100010000001111
10-37#37,06#100010000001111
10-37#37,06#100010000001111
10-37#37,06#100010000001111
10-37#37,07#100010000001111
10-37#37,08#100010000001111
10-37#37,09#100010000001111
10-37#37,1#100010000001111
10-37#37,11#100010000001111
10-37#37,12#100010000001111
10-37#37,13#100010000001111
10-37#37,14#100010000001111
10-37#37,15#100010000001111
10-37#37,16#100010000001111
10-37#37,16#100010000001111
10-37#37,16#100010000001111
10-38#37,16#100010000001111
10-38#37,16#100010000001111
10-38#37,16#100010000001111
10-38#37,16#100010000001111
10-38#37,16#100010000001111
10-38#37,17#100010000001111
10-38#37,18#100010000001111
10-38#37,19#100010000001111
10-38#37,2#100010000001111
10-38#37,21#100010000001111
10-38#37,22#100010000001111
10-38#37,23#100010000001111
10-38#37,251#100010000001111
10-38#37,272#100010000001111
10-38#37,293#100010000001111
10-38#37,304#100010000001111
10-38#37,315#100010000001111
10-38#37,326#100010000001111
10-38#37,337#100010000001111
10-38#37,348#100010000001111
10-38#37,359#100010000001111
10-38#37,37#100010000001111
10-38#37,37#100010000001111
10-38#37,37#100010000001111
10-38#37,37#100010000001111
10-38#37,37#100010000001111
10-38#37,37#100010000001111
10-38#37,37#100010000001111
10-39#37,37#100010000001111
10-39#37,37#100010000001111
10-39#37,37#100010000001111
10-39#37,37#100010000001111
10-39#37,37#100010000001111
10-39#37,37#100010000001111
10-39#37,37#100010000001111
10-39#37,37#100010000001111
10-39#37,38#100010000001111
10-39#37,38#100010000001111
10-39#37,39#100010000001111
10-39#37,4#100010000001111
10-39#37,41#100010000001111
10-39#37,42#100010000001111
10-39#37,43#100010000001111
10-39#37,44#100010000001111
10-39#37,45#100010000001111
10-39#37,46#100010000001111
10-39#37,46#100010000001111
10-39#37,47#100010000001111
10-39#37,47#100010000001111
10-39#37,47#100010000001111
10-39#37,47#100010000001111
10-39#37,47#100010000001111
10-40#37,47#100010000001111
10-40#37,47#100010000001111
10-40#37,47#100010000001111
10-40#37,47#100010000001111
10-40#37,48#100010000001111
10-40#37,49#100010000001111
10-40#37,5#100010000001111
10-40#37,51#100010000001111
10-40#37,53#100010000001111
10-40#37,55#100010000001111
10-40#37,57#100010000001111
10-40#37,59#100010000001111
10-40#37,61#100010000001111
10-40#37,63#100010000001111
10-40#37,64#100010000001111
10-40#37,65#100010000001111
10-40#37,66#100010000001111
10-40#37,67#100010000001111
10-41#37,67#100010000001111
10-41#37,67#100010000001111
10-41#37,67#100010000001111
10-41#37,67#100010000001111
10-41#37,67#100010000001111
10-41#37,67#100010000001111
10-41#37,67#100010000001111
10-41#37,67#100010000000111
10-41#37,67#100010000000111
10-41#37,67#100010000000111
